CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
COLLECTION,definedIn,FILE,,The file an ENTITY is defined or contained in
COLLECTION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
COLLECTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COLLECTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COLLECTION,generatedAtTime,dateTime,,The time this entity was created and available for use
COLLECTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COLLECTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
COLLECTION,title,string,,"A short, human-readable identifying label."
COLLECTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
COLLECTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
COLLECTION,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
COLLECTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
COLLECTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ENTITY,,,,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary."
ENTITY,definedIn,FILE,,The file an ENTITY is defined or contained in
ENTITY,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ENTITY,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ENTITY,generatedAtTime,dateTime,,The time this entity was created and available for use
ENTITY,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ENTITY,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ENTITY,title,string,,"A short, human-readable identifying label."
ENTITY,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ENTITY,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ENTITY,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ENTITY,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ENTITY,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
THING,,,,A piece of data stored in RACK
THING,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
THING,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
THING,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
THING,title,string,,"A short, human-readable identifying label."
DATA_DICTIONARY_TERM,,,,Defines some conceptual data that may be collected somewhere and used somewhere else
DATA_DICTIONARY_TERM,definedIn,FILE,,The file an ENTITY is defined or contained in
DATA_DICTIONARY_TERM,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DATA_DICTIONARY_TERM,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DATA_DICTIONARY_TERM,generatedAtTime,dateTime,,The time this entity was created and available for use
DATA_DICTIONARY_TERM,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DATA_DICTIONARY_TERM,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DATA_DICTIONARY_TERM,title,string,,"A short, human-readable identifying label."
DATA_DICTIONARY_TERM,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DATA_DICTIONARY_TERM,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DATA_DICTIONARY_TERM,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
DATA_DICTIONARY_TERM,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DATA_DICTIONARY_TERM,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DATA_DICTIONARY_TERM,consumedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that consumes this information
DATA_DICTIONARY_TERM,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
DATA_DICTIONARY_TERM,providedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that provides this information
REQUIREMENT,,,,Captures (both high- and low-level) properties of a process or artifact that are to be assessed
REQUIREMENT,definedIn,FILE,,The file an ENTITY is defined or contained in
REQUIREMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REQUIREMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REQUIREMENT,generatedAtTime,dateTime,,The time this entity was created and available for use
REQUIREMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REQUIREMENT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REQUIREMENT,title,string,,"A short, human-readable identifying label."
REQUIREMENT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REQUIREMENT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REQUIREMENT,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
REQUIREMENT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REQUIREMENT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REQUIREMENT,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
REQUIREMENT,givenText,string,,optional part that can be used to set certain conditions apart from other conditions in the ifText part
REQUIREMENT,governs,ENTITY,,ENTITY(s) that are the subject of the requirement
REQUIREMENT,ifText,string,,conditions under which this requirement holds
REQUIREMENT,mitigates,ENTITY,,ENTITY(s) (e.g. HAZARD) that is being mitigated by this REQUIREMENT
REQUIREMENT,satisfies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this REQUIREMENT is derived from
REQUIREMENT,thenText,string,,specifies what should hold by this requirement if the requirement conditions are met
REQUIREMENT_DEVELOPMENT,,,,ACTIVITY that produces REQUIREMENTs
REQUIREMENT_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REQUIREMENT_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REQUIREMENT_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
REQUIREMENT_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REQUIREMENT_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
REQUIREMENT_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
REQUIREMENT_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
REQUIREMENT_DEVELOPMENT,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
REQUIREMENT_DEVELOPMENT,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
REQUIREMENT_DEVELOPMENT,author,AGENT,,AGENT(s) responsible for producing a REQUIREMENT
REQUIREMENT_DEVELOPMENT,governedBy,ENTITY,,"ENTITY(s) (e.g. REQUIREMENTS, any sort of document) used during this ACTIVITY"
REQUIREMENT_DEVELOPMENT,referenced,ENTITY,,Source materials (requirement and design docs) used during development
REVIEW,,,,Artifact review ACTIVITY
REVIEW,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REVIEW,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REVIEW,endedAtTime,dateTime,,The time an activity was ended
REVIEW,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REVIEW,startedAtTime,dateTime,,The time an activity was started
REVIEW,title,string,,"A short, human-readable identifying label."
REVIEW,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
REVIEW,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
REVIEW,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
REVIEW,author,AGENT,,AGENT(s) putting items up for review
REVIEW,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT or SPECIFICATION) used for performing the review
REVIEW,reviewed,ENTITY,,ENTITY(s) being reviewed
REVIEW,reviewer,AGENT,,AGENT(s) performing the review
REVIEW_LOG,,,,Outcome of a REVIEW ACTIVITY
REVIEW_LOG,definedIn,FILE,,The file an ENTITY is defined or contained in
REVIEW_LOG,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REVIEW_LOG,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REVIEW_LOG,generatedAtTime,dateTime,,The time this entity was created and available for use
REVIEW_LOG,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REVIEW_LOG,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REVIEW_LOG,title,string,,"A short, human-readable identifying label."
REVIEW_LOG,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REVIEW_LOG,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REVIEW_LOG,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
REVIEW_LOG,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REVIEW_LOG,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REVIEW_LOG,createBy,ACTIVITY,,ACTIVITY(s) (e.g. REVIEW) that created this log
REVIEW_LOG,reviewResult,REVIEW_STATE,,Review status descriptor
REVIEW_LOG,reviews,ENTITY,,The subject being reviewed
REVIEW_STATE,,"enumeration: [http://arcos.rack/REVIEW#Passed, http://arcos.rack/REVIEW#ReviseWithoutReview, http://arcos.rack/REVIEW#ReviseWithReview]",,Life-cycle status of a review log
REVIEW_STATE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REVIEW_STATE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REVIEW_STATE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REVIEW_STATE,title,string,,"A short, human-readable identifying label."
ARGUMENT_PACKAGE,,,,"Argument Package is the containing element for a structured argument represented using the SACM Argumentation
Metamodel."
ARGUMENT_PACKAGE,definedIn,FILE,,The file an ENTITY is defined or contained in
ARGUMENT_PACKAGE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ARGUMENT_PACKAGE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ARGUMENT_PACKAGE,generatedAtTime,dateTime,,The time this entity was created and available for use
ARGUMENT_PACKAGE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ARGUMENT_PACKAGE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ARGUMENT_PACKAGE,title,string,,"A short, human-readable identifying label."
ARGUMENT_PACKAGE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ARGUMENT_PACKAGE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ARGUMENT_PACKAGE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ARGUMENT_PACKAGE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ARGUMENT_PACKAGE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ARGUMENT_PACKAGE,argumentationElement,ENTITY,,
ARGUMENT_REASONING,,,,Argument Reasoning can be used to provide additional description or explanation of the asserted relationship.
ARGUMENT_REASONING,definedIn,FILE,,The file an ENTITY is defined or contained in
ARGUMENT_REASONING,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ARGUMENT_REASONING,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ARGUMENT_REASONING,generatedAtTime,dateTime,,The time this entity was created and available for use
ARGUMENT_REASONING,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ARGUMENT_REASONING,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ARGUMENT_REASONING,title,string,,"A short, human-readable identifying label."
ARGUMENT_REASONING,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ARGUMENT_REASONING,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ARGUMENT_REASONING,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ARGUMENT_REASONING,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ARGUMENT_REASONING,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ARTIFACT_REFERENCE,,,,Artifact Reference enables the citation of an artifact as information that relates to the structured argument.
ARTIFACT_REFERENCE,definedIn,FILE,,The file an ENTITY is defined or contained in
ARTIFACT_REFERENCE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ARTIFACT_REFERENCE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ARTIFACT_REFERENCE,generatedAtTime,dateTime,,The time this entity was created and available for use
ARTIFACT_REFERENCE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ARTIFACT_REFERENCE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ARTIFACT_REFERENCE,title,string,,"A short, human-readable identifying label."
ARTIFACT_REFERENCE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ARTIFACT_REFERENCE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ARTIFACT_REFERENCE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ARTIFACT_REFERENCE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ARTIFACT_REFERENCE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ASSERTED_CONTEXT,,,,"Asserted Context can be used to declare that the artifact cited by an ArtifactReference(s) provides the context for the
interpretation and scoping of a Claim or ArgumentReasoning element."
ASSERTED_CONTEXT,definedIn,FILE,,The file an ENTITY is defined or contained in
ASSERTED_CONTEXT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ASSERTED_CONTEXT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ASSERTED_CONTEXT,generatedAtTime,dateTime,,The time this entity was created and available for use
ASSERTED_CONTEXT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ASSERTED_CONTEXT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ASSERTED_CONTEXT,title,string,,"A short, human-readable identifying label."
ASSERTED_CONTEXT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ASSERTED_CONTEXT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ASSERTED_CONTEXT,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ASSERTED_CONTEXT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ASSERTED_CONTEXT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ASSERTED_CONTEXT,source (SHARED PROPERTY),ENTITY,,
ASSERTED_CONTEXT,target (SHARED PROPERTY),ENTITY,,
ASSERTED_INFERENCE,,,,"Asserted Inference association records the inference that a user declares to exist between one or more Assertion (premise) and
another Assertion (conclusion)."
ASSERTED_INFERENCE,definedIn,FILE,,The file an ENTITY is defined or contained in
ASSERTED_INFERENCE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ASSERTED_INFERENCE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ASSERTED_INFERENCE,generatedAtTime,dateTime,,The time this entity was created and available for use
ASSERTED_INFERENCE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ASSERTED_INFERENCE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ASSERTED_INFERENCE,title,string,,"A short, human-readable identifying label."
ASSERTED_INFERENCE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ASSERTED_INFERENCE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ASSERTED_INFERENCE,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ASSERTED_INFERENCE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ASSERTED_INFERENCE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ASSERTED_INFERENCE,reasoning,ENTITY,,
ASSERTED_INFERENCE,source (SHARED PROPERTY),ENTITY,,
ASSERTED_INFERENCE,target (SHARED PROPERTY),ENTITY,,
CLAIM,,,,Claims are used to record the propositions of any structured argument contained in an Argument Package.
CLAIM,definedIn,FILE,,The file an ENTITY is defined or contained in
CLAIM,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CLAIM,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CLAIM,generatedAtTime,dateTime,,The time this entity was created and available for use
CLAIM,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CLAIM,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
CLAIM,title,string,,"A short, human-readable identifying label."
CLAIM,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
CLAIM,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
CLAIM,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
CLAIM,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
CLAIM,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
BUILD,,,,"Describes a set of ACTIVITYs (e.g. CODE_GEN, COMPILE, ...) that together form some logical building unit"
BUILD,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
BUILD,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
BUILD,endedAtTime,dateTime,,The time an activity was ended
BUILD,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
BUILD,startedAtTime,dateTime,,The time an activity was started
BUILD,title,string,,"A short, human-readable identifying label."
BUILD,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
BUILD,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
BUILD,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
BUILD,step,ACTIVITY,,A BUILD may be comprised of any number of sub-ACTIVITY(s)
CODE_DEVELOPMENT,,,,An ACTIVITY that produces source code FILEs
CODE_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CODE_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CODE_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
CODE_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CODE_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
CODE_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
CODE_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
CODE_DEVELOPMENT,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
CODE_DEVELOPMENT,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
CODE_DEVELOPMENT,author,AGENT,,AGENT(s) who participated in this ACTIVITY
CODE_DEVELOPMENT,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that gave rise to this ACTIVITY
CODE_DEVELOPMENT,referenced,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that were referenced during this ACTIVITY
CODE_GEN,,,,ACTIVITY of running a CODE_GENERATOR to create source code FILEs
CODE_GEN,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CODE_GEN,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CODE_GEN,endedAtTime,dateTime,,The time an activity was ended
CODE_GEN,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CODE_GEN,startedAtTime,dateTime,,The time an activity was started
CODE_GEN,title,string,,"A short, human-readable identifying label."
CODE_GEN,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
CODE_GEN,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
CODE_GEN,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
CODE_GEN,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
COMPILE,,,,ACTIVITY of running a a COMPILER to produce executable and object FILEs
COMPILE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COMPILE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COMPILE,endedAtTime,dateTime,,The time an activity was ended
COMPILE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COMPILE,startedAtTime,dateTime,,The time an activity was started
COMPILE,title,string,,"A short, human-readable identifying label."
COMPILE,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
COMPILE,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
COMPILE,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
COMPILE,compileInput,FILE,,Source files that contributed to the compilation
COMPILE,compiledBy,TOOL,,The tool that performed the compilation
COMPILE,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
COMPONENT_TYPE,,,,An open/extensible set of types of software components
COMPONENT_TYPE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COMPONENT_TYPE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COMPONENT_TYPE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COMPONENT_TYPE,title,string,,"A short, human-readable identifying label."
PACKAGE,,,,ACTIVITY of running a PACKAGER to produce a package FILE
PACKAGE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
PACKAGE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
PACKAGE,endedAtTime,dateTime,,The time an activity was ended
PACKAGE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
PACKAGE,startedAtTime,dateTime,,The time an activity was started
PACKAGE,title,string,,"A short, human-readable identifying label."
PACKAGE,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
PACKAGE,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
PACKAGE,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
PACKAGE,packageInput,FILE,,Source files used when generating the package output
PACKAGE,packagedBy,TOOL,,The tool used to generate the package output
PACKAGE,performedBy (SHARED PROPERTY),AGENT,,AGENT(s) (e.g. PACKAGER) performing the packaging ; AGENT(s) (e.g. COMPILER) performing the compilation ; AGENT(s) (e.g. CODE_GENERATOR) generating the code (SHARED PROPERTY)
SWCOMPONENT,,,,A concrete software component
SWCOMPONENT,definedIn,FILE,,The file an ENTITY is defined or contained in
